Definition: Grid Imported = Grid To Home + Grid To Storage; Utilized PV Energy = Home Usage - Grid Imported; Carbon Reduction = Total Solar Generation × 0.363
Date,Home Usage (kWh),Smart Plug Usage (kWh),Grid Imported (kWh),Grid to Home (kWh),Grid to Storage (kWh),Solar to Home (kWh),Solar to Storage (kWh),Storage Charged Energy (kWh),Storage Discharged Energy (kWh),Storage to Home (kWh),Utilized PV Energy (kWh),Total Solar Generation (kWh),Solar to Grid (kWh),Solarbank 3 E2700 Pro - Total Generation (kWh),Solarbank 3 E2700 Pro - PV1 Generation (kWh),Solarbank 3 E2700 Pro - PV2 Generation (kWh),Solarbank 3 E2700 Pro - PV3 Generation (kWh),Solarbank 3 E2700 Pro - PV4 Generation (kWh),Carbon Reduction (kgCO2/kWh)
19/01/2026,6.79,0.00,3.42,3.42,0.00,1.76,1.72,1.72,1.61,1.61,3.37,3.48,0.00,3.48,0.52,0.96,0.97,1.03,1.26
20/01/2026,5.64,0.00,2.39,2.39,0.00,1.47,1.84,1.84,1.79,1.78,3.25,3.31,0.00,3.44,0.55,0.99,0.99,0.91,1.20
21/01/2026,7.10,0.00,3.95,3.95,0.00,1.47,1.73,1.73,1.68,1.68,3.15,3.20,0.00,3.32,0.58,0.90,0.97,0.87,1.16
22/01/2026,7.62,0.00,7.09,7.09,0.00,0.51,0.05,0.05,0.02,0.02,0.53,0.56,0.00,0.61,0.03,0.12,0.31,0.15,0.20
23/01/2026,9.08,0.00,7.02,7.02,0.00,1.92,0.19,0.19,0.14,0.14,2.06,2.13,0.02,2.22,0.21,0.68,0.71,0.62,0.77
24/01/2026,8.80,0.00,8.36,8.36,0.00,0.44,0.01,0.01,0.00,0.00,0.44,0.45,0.00,0.51,0.05,0.07,0.29,0.10,0.16
25/01/2026,7.22,0.00,6.89,6.89,0.00,0.31,0.05,0.05,0.02,0.02,0.33,0.36,0.00,0.40,0.05,0.06,0.23,0.06,0.13
26/01/2026,6.19,0.00,6.13,6.13,0.00,0.06,0.01,0.01,0.00,0.00,0.06,0.07,0.00,0.09,0.07,0.00,0.01,0.01,0.03
27/01/2026,8.64,0.00,8.45,8.44,0.01,0.18,0.07,0.08,0.03,0.02,0.19,0.25,0.00,0.31,0.20,0.02,0.04,0.05,0.09
28/01/2026,8.46,0.00,8.07,8.07,0.00,0.39,0.00,0.00,0.00,0.00,0.39,0.39,0.00,0.43,0.05,0.14,0.16,0.08,0.14
29/01/2026,6.60,0.00,6.48,6.48,0.00,0.12,0.01,0.01,0.00,0.00,0.12,0.13,0.00,0.17,0.02,0.00,0.14,0.01,0.05
30/01/2026,7.60,0.00,7.40,7.39,0.01,0.19,0.06,0.07,0.02,0.02,0.20,0.25,0.00,0.28,0.01,0.03,0.22,0.02,0.09
31/01/2026,7.87,0.00,7.47,7.47,0.00,0.40,0.01,0.01,0.00,0.00,0.40,0.41,0.00,0.56,0.05,0.06,0.35,0.10,0.15
01/02/2026,7.16,0.00,6.34,6.34,0.00,0.81,0.08,0.08,0.01,0.01,0.82,0.89,0.00,1.10,0.11,0.14,0.62,0.23,0.32
02/02/2026,6.34,0.00,4.75,4.75,0.00,1.11,0.48,0.48,0.48,0.48,1.59,1.60,0.01,1.91,0.19,0.41,0.88,0.43,0.58
03/02/2026,10.38,0.00,8.47,8.47,0.00,1.49,0.51,0.51,0.42,0.42,1.91,2.00,0.00,2.22,0.59,0.38,0.74,0.51,0.73
04/02/2026,6.74,0.00,5.46,5.46,0.00,1.24,0.04,0.04,0.04,0.04,1.28,1.30,0.02,1.41,0.25,0.25,0.59,0.32,0.47
05/02/2026,5.54,0.00,5.06,5.06,0.00,0.47,0.03,0.03,0.01,0.01,0.48,0.50,0.00,0.63,0.07,0.07,0.35,0.14,0.18
06/02/2026,7.01,0.00,6.61,6.61,0.00,0.40,0.00,0.00,0.00,0.00,0.40,0.40,0.00,0.46,0.05,0.06,0.27,0.08,0.15
07/02/2026,6.54,0.00,6.26,6.25,0.01,0.27,0.08,0.09,0.02,0.02,0.28,0.35,0.00,0.43,0.01,0.06,0.30,0.06,0.13
08/02/2026,3.89,0.00,3.50,3.50,0.00,0.39,0.01,0.01,0.00,0.00,0.39,0.40,0.00,0.53,0.06,0.05,0.33,0.09,0.15
09/02/2026,4.92,0.00,4.23,4.23,0.00,0.67,0.05,0.05,0.02,0.02,0.69,0.72,0.00,0.80,0.09,0.10,0.42,0.19,0.26
10/02/2026,7.80,0.00,6.08,6.08,0.00,1.62,0.12,0.12,0.11,0.10,1.72,1.74,0.00,1.89,0.22,0.45,0.67,0.55,0.63
11/02/2026,6.97,0.00,6.71,6.71,0.00,0.26,0.01,0.01,0.00,0.00,0.26,0.27,0.00,0.29,0.03,0.01,0.23,0.02,0.10
12/02/2026,6.74,0.00,6.40,6.39,0.01,0.33,0.07,0.08,0.02,0.02,0.34,0.40,0.00,0.50,0.05,0.21,0.19,0.05,0.15
13/02/2026,7.10,0.00,6.70,6.70,0.00,0.40,0.01,0.01,0.00,0.00,0.40,0.41,0.00,0.49,0.33,0.08,0.05,0.03,0.15
14/02/2026,8.72,0.00,5.28,5.28,0.00,1.45,2.14,2.14,2.05,1.99,3.44,3.63,0.04,3.70,0.72,0.99,1.05,0.94,1.32
15/02/2026,8.00,0.00,3.02,3.02,0.00,2.38,2.61,2.61,2.61,2.60,4.98,6.13,1.14,6.15,1.13,1.68,1.67,1.67,2.23
16/02/2026,5.91,0.00,4.54,4.54,0.00,1.37,0.01,0.01,0.00,0.00,1.37,1.38,0.00,1.52,0.15,0.27,0.73,0.37,0.50
17/02/2026,8.47,0.00,8.05,8.05,0.00,0.41,0.08,0.08,0.01,0.01,0.42,0.49,0.00,0.66,0.43,0.07,0.09,0.07,0.18
18/02/2026,6.34,0.00,1.62,1.62,0.00,2.64,2.25,2.25,2.11,2.08,4.72,4.91,0.02,4.94,0.96,1.39,1.36,1.23,1.78
19/02/2026,5.50,0.00,1.51,1.51,0.00,2.05,2.44,2.44,1.95,1.94,3.99,6.74,2.25,6.84,0.94,1.92,2.00,1.98,2.45
20/02/2026,8.95,0.00,4.70,4.70,0.00,2.45,1.43,1.43,1.80,1.80,4.25,3.89,0.01,4.05,0.66,1.09,1.22,1.08,1.41
21/02/2026,4.59,0.00,3.94,3.94,0.00,0.65,0.01,0.01,0.00,0.00,0.65,0.66,0.00,0.76,0.08,0.09,0.44,0.15,0.24
22/02/2026,5.89,0.00,5.48,5.47,0.01,0.40,0.07,0.08,0.02,0.02,0.41,0.47,0.00,0.57,0.05,0.09,0.33,0.10,0.17
23/02/2026,6.10,0.00,5.35,5.35,0.00,0.65,0.13,0.13,0.10,0.10,0.75,0.78,0.00,0.84,0.10,0.18,0.34,0.22,0.28
24/02/2026,6.41,0.00,4.73,4.73,0.00,1.65,0.10,0.10,0.04,0.03,1.68,1.76,0.01,1.94,0.18,0.48,0.71,0.57,0.64
25/02/2026,6.99,0.00,3.36,3.36,0.00,2.15,1.50,1.50,1.50,1.48,3.63,3.66,0.01,3.76,0.29,1.05,1.27,1.15,1.33
26/02/2026,7.10,0.00,3.56,3.56,0.00,2.33,1.34,1.34,1.22,1.21,3.54,3.69,0.02,3.86,0.48,1.12,1.18,1.08,1.34
27/02/2026,5.25,0.00,2.45,2.45,0.00,1.44,1.43,1.43,1.39,1.36,2.80,2.88,0.01,3.04,0.32,0.80,1.06,0.86,1.05
28/02/2026,4.94,0.00,2.19,2.18,0.01,1.44,1.36,1.37,1.33,1.32,2.75,2.80,0.00,2.91,0.23,0.68,1.13,0.87,1.02
01/03/2026,5.28,0.00,1.13,1.13,0.00,2.28,2.70,2.70,1.90,1.87,4.15,5.05,0.07,5.17,0.78,1.48,1.51,1.40,1.83
02/03/2026,5.96,0.00,1.04,1.04,0.00,1.61,2.56,2.56,3.34,3.31,4.92,7.11,2.94,7.14,0.94,2.01,2.10,2.09,2.58
03/03/2026,5.92,0.00,1.39,1.39,0.00,2.76,2.72,2.72,1.78,1.77,4.53,8.30,2.82,8.34,1.16,2.39,2.37,2.42,3.01
04/03/2026,8.00,0.00,0.84,0.84,0.00,4.42,2.78,2.78,2.78,2.74,7.16,9.24,2.04,9.28,1.29,2.65,2.69,2.65,3.35
05/03/2026,8.07,0.00,0.93,0.93,0.00,4.17,2.62,2.62,2.98,2.97,7.14,8.95,2.16,8.95,1.16,2.60,2.56,2.63,3.25
06/03/2026,11.02,0.00,2.82,2.82,0.00,5.57,3.03,3.03,2.65,2.63,8.20,8.96,0.36,8.98,1.33,2.47,2.63,2.55,3.25
07/03/2026,4.23,0.00,0.34,0.34,0.00,2.16,2.58,2.58,1.73,1.73,3.89,5.83,1.09,5.89,0.77,1.74,1.71,1.67,2.12
08/03/2026,7.84,0.00,3.74,3.74,0.00,2.00,0.84,0.84,2.13,2.10,4.10,2.89,0.05,3.13,0.32,0.98,0.98,0.85,1.05
09/03/2026,6.66,0.00,1.99,1.99,0.00,2.55,2.53,2.53,2.14,2.12,4.67,8.54,3.46,8.58,1.23,2.35,2.47,2.53,3.10
10/03/2026,7.60,0.00,1.47,1.47,0.00,3.62,2.52,2.52,2.51,2.51,6.13,6.82,0.68,6.95,0.91,1.96,2.00,2.08,2.48
11/03/2026,5.49,0.00,2.32,2.32,0.00,1.71,1.38,1.38,1.51,1.46,3.17,3.09,0.00,3.25,0.54,0.85,1.07,0.79,1.12
12/03/2026,6.56,0.00,1.32,1.32,0.00,3.42,2.59,2.59,1.86,1.82,5.24,7.87,1.86,7.94,1.32,2.25,2.18,2.19,2.86
13/03/2026,4.50,0.00,1.89,1.89,0.00,1.41,0.55,0.55,1.20,1.20,2.61,1.96,0.00,2.07,0.30,0.57,0.70,0.50,0.71
14/03/2026,3.05,0.00,0.74,0.73,0.01,1.41,1.13,1.14,0.91,0.91,2.31,2.54,0.00,2.62,0.22,0.73,0.90,0.77,0.92
15/03/2026,5.43,0.00,1.19,1.19,0.00,2.17,2.65,2.65,2.09,2.07,4.24,7.57,2.75,7.59,1.15,1.99,2.23,2.22,2.75
16/03/2026,5.72,0.00,1.12,1.12,0.00,1.81,2.57,2.57,2.81,2.79,4.60,5.01,0.63,5.14,0.44,1.44,1.75,1.51,1.82
17/03/2026,9.16,0.00,5.20,5.20,0.00,3.15,0.62,0.62,0.82,0.81,3.96,3.79,0.02,3.98,0.58,1.14,1.13,1.13,1.38
18/03/2026,8.03,0.00,1.30,1.30,0.00,4.61,2.51,2.51,2.13,2.12,6.73,10.16,3.04,10.22,1.50,3.02,2.82,2.88,3.69
19/03/2026,7.85,0.00,0.70,0.70,0.00,4.86,2.60,2.60,2.29,2.29,7.15,7.97,0.51,8.09,1.35,2.21,2.27,2.26,2.89
20/03/2026,7.04,0.00,1.80,1.80,0.00,2.62,2.81,2.81,2.66,2.62,5.24,6.83,1.40,6.91,0.50,2.07,2.18,2.16,2.48
21/03/2026,5.71,0.00,3.13,3.12,0.01,1.62,0.49,0.50,0.99,0.97,2.58,2.20,0.09,2.31,0.17,0.68,0.80,0.66,0.80
22/03/2026,7.39,0.00,2.03,2.03,0.00,3.28,2.73,2.73,2.09,2.08,5.36,10.13,4.12,10.16,1.40,2.99,2.87,2.90,3.68
23/03/2026,6.30,0.00,1.18,1.18,0.00,2.61,2.50,2.50,2.53,2.51,5.12,7.56,2.45,7.67,1.29,2.14,2.02,2.22,2.74
24/03/2026,6.35,0.00,3.56,3.56,0.00,1.95,0.47,0.47,0.85,0.84,2.79,2.42,0.00,2.48,0.23,0.68,0.87,0.70,0.88
25/03/2026,4.52,0.00,1.30,1.30,0.00,1.71,2.23,2.23,1.52,1.51,3.22,3.97,0.03,4.03,0.36,1.13,1.36,1.18,1.44
26/03/2026,3.73,0.00,0.28,0.27,0.01,1.55,2.51,2.52,1.91,1.91,3.45,7.12,3.06,7.19,1.04,2.24,1.93,1.98,2.58
27/03/2026,7.08,0.00,0.91,0.91,0.00,3.21,2.71,2.71,3.03,2.96,6.17,7.44,1.52,7.55,1.52,1.93,1.99,2.11,2.70
28/03/2026,6.99,0.00,3.01,3.01,0.00,1.96,1.39,1.39,2.04,2.02,3.98,3.42,0.07,3.57,0.54,0.96,1.05,1.02,1.24
29/03/2026,5.11,0.00,0.93,0.92,0.01,2.44,2.53,2.54,1.77,1.75,4.18,6.72,1.75,6.91,1.44,1.67,1.87,1.93,2.44
30/03/2026,5.27,0.00,0.79,0.79,0.00,2.12,2.95,2.95,2.37,2.36,4.48,5.76,0.69,5.93,1.23,1.49,1.64,1.57,2.09
31/03/2026,6.52,0.00,0.48,0.48,0.00,3.15,2.51,2.51,2.93,2.89,6.04,5.72,0.06,5.84,0.89,1.50,1.75,1.70,2.08
01/04/2026,8.56,0.00,2.46,2.46,0.00,3.42,2.69,2.69,2.70,2.68,6.10,6.47,0.36,6.59,0.55,1.91,2.07,2.06,2.35
02/04/2026,6.02,0.00,2.31,2.31,0.00,2.21,1.06,1.06,1.53,1.50,3.71,3.31,0.04,3.47,0.88,0.83,0.92,0.84,1.20
03/04/2026,5.80,0.00,1.67,1.66,0.01,2.39,2.86,2.87,1.77,1.75,4.13,6.70,1.45,6.93,1.01,1.90,2.10,1.92,2.43
04/04/2026,7.49,0.00,0.71,0.70,0.01,4.38,2.74,2.75,2.43,2.41,6.78,9.31,2.19,9.38,1.38,2.61,2.68,2.71,3.38
05/04/2026,8.54,0.00,1.91,1.90,0.01,3.77,2.83,2.84,2.92,2.87,6.63,8.20,1.60,8.26,1.26,2.25,2.40,2.35,2.98
06/04/2026,6.88,0.00,0.82,0.82,0.00,3.95,2.71,2.71,2.13,2.11,6.06,9.01,2.35,9.08,1.70,2.53,2.41,2.44,3.27
07/04/2026,5.16,0.00,0.42,0.42,0.00,2.70,2.03,2.03,2.06,2.04,4.74,10.90,6.17,10.92,1.65,3.19,3.05,3.03,3.96
08/04/2026,10.03,0.00,1.83,1.83,0.00,5.52,2.37,2.37,2.71,2.68,8.20,11.13,3.24,11.19,1.86,3.17,3.08,3.08,4.04
09/04/2026,5.81,0.00,0.67,0.67,0.00,2.63,2.40,2.40,2.52,2.51,5.14,10.52,5.49,10.58,1.66,3.11,2.84,2.97,3.82
10/04/2026,5.07,0.00,0.98,0.98,0.00,2.34,2.64,2.64,1.78,1.75,4.09,7.09,2.11,7.13,0.79,1.91,2.23,2.20,2.57
11/04/2026,5.19,0.00,0.19,0.19,0.00,3.14,1.87,1.87,1.86,1.86,5.00,10.56,5.55,10.59,1.83,2.65,3.00,3.11,3.83
12/04/2026,7.76,0.00,1.80,1.80,0.00,3.03,2.14,2.14,3.01,2.93,5.96,8.77,3.60,8.81,1.45,2.27,2.52,2.57,3.18
13/04/2026,5.59,0.00,2.86,2.86,0.00,1.60,0.64,0.64,1.15,1.13,2.73,2.24,0.00,2.45,0.39,0.51,0.90,0.65,0.81
14/04/2026,7.40,0.00,2.81,2.80,0.01,2.97,1.72,1.73,1.65,1.63,4.59,4.70,0.01,4.78,0.56,1.23,1.56,1.43,1.71
15/04/2026,6.95,0.00,1.50,1.50,0.00,3.61,1.96,1.96,1.88,1.84,5.45,5.59,0.02,5.65,1.02,1.47,1.54,1.62,2.03
16/04/2026,6.79,0.00,1.86,1.86,0.00,3.30,2.85,2.85,1.65,1.63,4.93,7.87,1.72,7.99,1.06,2.13,2.44,2.36,2.86
17/04/2026,7.14,0.00,1.16,1.16,0.00,3.28,2.52,2.52,2.71,2.70,5.98,8.21,2.41,8.31,1.42,2.15,2.37,2.37,2.98
18/04/2026,6.91,0.00,1.80,1.80,0.00,2.81,2.34,2.34,2.31,2.30,5.11,5.16,0.01,5.25,1.15,1.29,1.42,1.39,1.87
19/04/2026,7.72,0.00,3.56,3.56,0.00,2.30,1.11,1.11,1.88,1.86,4.16,3.42,0.01,3.55,0.59,0.78,1.20,0.98,1.24
20/04/2026,6.25,0.00,1.94,1.94,0.00,2.76,2.55,2.55,1.56,1.55,4.31,9.09,3.78,9.22,1.00,2.57,2.83,2.82,3.30
21/04/2026,5.52,0.00,0.48,0.48,0.00,3.01,2.62,2.62,2.05,2.03,5.04,11.58,5.95,11.61,1.92,3.03,3.25,3.41,4.20
22/04/2026,5.22,0.00,0.16,0.16,0.00,3.39,1.99,1.99,1.68,1.67,5.06,11.34,5.96,11.36,1.90,3.00,3.20,3.26,4.12
23/04/2026,5.21,0.00,0.60,0.60,0.00,2.69,1.82,1.82,1.93,1.92,4.61,10.55,6.04,10.68,1.56,2.71,3.16,3.25,3.83
24/04/2026,4.36,0.00,0.19,0.18,0.01,2.41,2.02,2.03,1.77,1.77,4.17,8.74,4.31,8.80,1.16,2.15,2.67,2.82,3.17
25/04/2026,7.32,0.00,1.19,1.18,0.01,3.04,2.11,2.12,3.18,3.10,6.13,5.66,0.51,5.90,1.01,1.30,1.94,1.65,2.05
26/04/2026,3.34,0.00,0.26,0.26,0.00,1.75,2.50,2.50,1.33,1.33,3.08,11.23,6.98,11.29,1.77,2.96,3.19,3.37,4.08
27/04/2026,7.38,0.00,1.11,1.11,0.00,3.56,1.83,1.83,2.74,2.71,6.27,9.65,4.26,9.72,1.61,2.55,2.80,2.76,3.50
28/04/2026,7.51,0.00,1.21,1.21,0.00,4.54,2.60,2.60,1.77,1.76,6.30,11.44,4.30,11.46,1.87,3.18,3.15,3.26,4.15
29/04/2026,5.83,0.00,0.82,0.82,0.00,2.41,2.04,2.04,2.63,2.60,5.01,11.49,7.04,11.55,1.77,3.10,3.28,3.40,4.17
30/04/2026,5.28,0.00,0.45,0.45,0.00,3.39,2.49,2.49,1.44,1.44,4.83,11.32,5.44,11.38,1.74,3.16,3.16,3.32,4.11
01/05/2026,5.53,0.00,0.54,0.54,0.00,3.20,1.87,1.87,1.80,1.79,4.99,12.26,7.19,12.32,1.99,3.42,3.46,3.45,4.45
02/05/2026,8.13,0.00,0.96,0.96,0.00,4.47,2.18,2.18,2.84,2.70,7.17,11.74,5.09,11.78,1.81,3.33,3.33,3.31,4.26
03/05/2026,5.37,0.00,0.26,0.26,0.00,2.88,2.53,2.53,2.26,2.23,5.11,8.71,3.30,8.77,1.25,2.49,2.51,2.52,3.16
04/05/2026,6.78,0.00,1.04,1.03,0.01,2.95,2.52,2.53,2.82,2.80,5.74,7.01,1.54,7.10,0.94,1.90,2.05,2.21,2.54
05/05/2026,7.48,0.00,0.13,0.13,0.00,5.69,2.53,2.53,1.67,1.66,7.35,11.35,3.13,11.42,1.63,3.15,3.31,3.33,4.12
06/05/2026,7.32,0.00,0.81,0.81,0.00,3.91,1.77,1.77,2.63,2.60,6.51,7.69,2.01,7.75,1.42,2.13,2.12,2.08,2.79
07/05/2026,6.42,0.00,0.67,0.67,0.00,3.62,2.51,2.51,2.14,2.13,5.75,11.85,5.72,11.94,2.07,3.47,3.19,3.21,4.30
08/05/2026,8.07,0.00,0.69,0.69,0.00,5.37,2.65,2.65,2.03,2.01,7.38,12.98,4.96,13.03,2.18,3.59,3.63,3.63,4.71
09/05/2026,4.10,0.00,0.45,0.45,0.00,2.14,2.04,2.04,1.51,1.51,3.65,9.79,5.61,9.82,1.98,2.74,2.56,2.54,3.55
10/05/2026,4.54,0.00,0.01,0.01,0.00,2.89,1.62,1.62,1.64,1.64,4.53,5.14,0.63,5.42,0.82,1.63,1.60,1.37,1.87
11/05/2026,3.12,0.00,0.01,0.01,0.00,1.56,1.74,1.74,1.56,1.55,3.11,3.44,0.14,3.59,0.39,0.91,1.27,1.02,1.25
12/05/2026,2.86,0.00,0.00,0.00,0.00,1.57,1.32,1.32,1.29,1.29,2.86,5.10,2.21,5.22,0.73,1.55,1.63,1.31,1.85
13/05/2026,2.82,0.00,0.01,0.01,0.00,1.62,1.25,1.25,1.19,1.19,2.81,6.69,3.82,6.89,1.03,2.24,1.91,1.71,2.43
14/05/2026,2.72,0.00,0.01,0.01,0.00,1.68,1.08,1.08,1.03,1.03,2.71,6.97,4.21,7.02,1.76,2.30,1.42,1.54,2.53
15/05/2026,5.23,0.00,0.01,0.01,0.00,3.35,1.30,1.30,1.87,1.87,5.22,7.17,2.52,7.22,1.81,2.27,1.58,1.56,2.60
16/05/2026,6.62,0.00,0.71,0.70,0.01,3.53,2.21,2.22,2.41,2.39,5.91,6.78,1.04,6.93,0.95,2.05,2.00,1.93,2.46
17/05/2026,8.71,0.00,1.51,1.51,0.00,4.01,2.63,2.63,3.25,3.19,7.20,7.73,1.09,7.87,1.95,1.98,2.00,1.94,2.81
18/05/2026,6.27,0.00,1.53,1.53,0.00,2.57,2.57,2.57,2.19,2.17,4.74,5.15,0.01,5.29,0.66,1.41,1.65,1.57,1.87
19/05/2026,6.99,0.00,1.22,1.22,0.00,3.57,2.73,2.73,2.22,2.20,5.77,8.58,2.28,8.76,1.51,2.43,2.47,2.35,3.11
20/05/2026,4.84,0.00,0.06,0.06,0.00,2.28,1.70,1.70,2.51,2.50,4.78,3.99,0.01,4.28,0.56,1.16,1.45,1.11,1.45
21/05/2026,4.69,0.00,0.78,0.77,0.01,2.62,2.86,2.87,1.32,1.30,3.91,7.44,1.96,7.50,1.13,2.10,2.18,2.09,2.70
22/05/2026,7.29,0.00,1.29,1.29,0.00,3.41,1.46,1.46,2.64,2.59,6.00,4.91,0.04,5.05,0.63,1.42,1.59,1.41,1.78
23/05/2026,8.75,0.00,1.38,1.38,0.00,4.74,3.17,3.17,2.74,2.63,7.37,11.00,3.09,11.03,2.27,2.91,2.92,2.93,3.99
24/05/2026,6.92,0.00,0.65,0.65,0.00,4.60,2.68,2.68,1.68,1.67,6.27,12.21,4.93,12.21,2.35,3.28,3.28,3.30,4.43
25/05/2026,5.72,0.00,0.67,0.67,0.00,2.75,1.70,1.70,2.30,2.30,5.05,11.57,7.12,11.72,2.27,3.10,3.14,3.21,4.20
26/05/2026,5.55,0.00,0.24,0.24,0.00,3.54,2.24,2.24,1.78,1.77,5.31,11.54,5.76,11.60,2.11,3.12,3.23,3.14,4.19
27/05/2026,8.68,0.00,0.88,0.88,0.00,5.65,2.33,2.33,2.18,2.15,7.80,12.50,4.52,12.59,2.41,3.27,3.44,3.47,4.54
28/05/2026,5.61,0.00,0.04,0.04,0.00,3.83,1.67,1.67,1.74,1.74,5.57,11.69,6.19,11.73,2.24,3.05,3.19,3.25,4.24
29/05/2026,8.87,0.00,1.45,1.45,0.00,4.05,2.22,2.22,3.43,3.37,7.42,9.45,3.18,9.55,2.25,2.32,2.51,2.47,3.43
30/05/2026,6.73,0.00,1.84,1.83,0.01,2.70,2.51,2.52,2.21,2.20,4.89,6.89,1.68,6.89,1.61,2.13,1.67,1.48,2.50
31/05/2026,5.35,0.00,0.69,0.69,0.00,3.14,2.73,2.73,1.53,1.52,4.66,6.43,0.56,6.43,1.87,1.87,1.38,1.31,2.33
01/06/2026,7.80,0.00,0.76,0.76,0.00,4.72,2.13,2.13,2.34,2.32,7.04,9.04,2.19,9.04,1.47,3.23,2.19,2.15,3.28
02/06/2026,7.40,0.00,0.46,0.46,0.00,4.65,2.70,2.70,2.30,2.29,6.94,8.30,0.95,8.30,2.28,2.17,2.02,1.83,3.01
03/06/2026,8.52,0.00,1.51,1.51,0.00,3.99,2.73,2.73,3.04,3.02,7.01,7.35,0.63,7.35,1.01,2.57,2.00,1.77,2.67
04/06/2026,6.48,0.00,0.87,0.87,0.00,3.06,2.45,2.45,2.56,2.55,5.61,5.54,0.03,5.54,1.06,1.69,1.54,1.25,2.01
05/06/2026,10.34,0.00,2.02,2.02,0.00,4.58,2.99,2.99,3.81,3.74,8.32,7.62,0.05,7.62,2.01,2.05,1.83,1.73,2.77
06/06/2026,6.26,0.00,0.80,0.80,0.00,4.27,2.79,2.79,1.20,1.19,5.46,7.39,0.33,7.39,1.79,2.07,1.80,1.73,2.68
07/06/2026,6.43,0.00,0.57,0.56,0.01,3.29,2.50,2.51,2.59,2.58,5.86,6.59,0.80,6.59,1.36,1.95,1.84,1.44,2.39
08/06/2026,8.24,0.00,0.93,0.93,0.00,4.42,1.64,1.64,2.93,2.89,7.31,6.08,0.02,6.08,2.15,1.49,1.21,1.23,2.21
09/06/2026,6.64,0.00,1.86,1.85,0.01,3.30,2.96,2.97,1.50,1.49,4.78,7.37,1.11,7.37,1.04,2.18,2.22,1.93,2.68
10/06/2026,5.43,0.00,0.34,0.34,0.00,3.31,1.97,1.97,1.79,1.78,5.09,8.79,3.51,8.79,2.37,1.74,2.36,2.32,3.19
11/06/2026,7.11,0.00,0.38,0.38,0.00,4.17,2.53,2.53,2.57,2.56,6.73,9.02,2.32,9.02,2.48,2.02,2.25,2.27,3.27
12/06/2026,6.99,0.00,1.79,1.79,0.00,3.21,0.66,0.66,2.03,1.99,5.20,3.89,0.02,3.89,1.15,1.06,0.88,0.80,1.41
13/06/2026,7.91,0.00,1.93,1.93,0.00,4.06,3.67,3.67,1.94,1.92,5.98,7.89,0.16,7.89,1.65,2.22,2.08,1.94,2.86
14/06/2026,6.96,0.00,0.61,0.60,0.01,3.43,2.52,2.53,2.98,2.93,6.35,6.59,0.64,6.59,1.39,2.15,1.58,1.47,2.39
15/06/2026,7.82,0.00,1.83,1.83,0.00,3.95,0.99,0.99,2.05,2.04,5.99,4.94,0.00,4.94,1.35,1.36,1.23,1.00,1.79
16/06/2026,6.15,0.00,1.71,1.71,0.00,3.22,2.62,2.62,1.22,1.22,4.44,7.83,1.99,7.83,0.92,2.45,2.28,2.18,2.84
17/06/2026,6.54,0.00,0.08,0.08,0.00,4.23,1.92,1.92,2.25,2.23,6.46,9.24,3.09,9.24,2.29,2.10,2.56,2.29,3.35
18/06/2026,7.37,0.00,0.71,0.71,0.00,4.65,2.84,2.84,2.01,2.01,6.66,8.77,1.28,8.77,1.48,2.64,2.39,2.26,3.18
19/06/2026,7.89,0.00,0.08,0.08,0.00,4.62,2.36,2.36,3.21,3.19,7.81,7.82,0.84,7.82,1.05,2.56,2.13,2.08,2.84
20/06/2026,7.71,0.00,0.98,0.98,0.00,4.93,2.73,2.73,1.81,1.80,6.73,9.51,1.85,9.51,1.47,3.14,2.53,2.37,3.45
21/06/2026,7.17,0.00,0.22,0.22,0.00,4.96,1.87,1.87,1.99,1.99,6.95,9.69,2.86,9.69,2.31,2.80,2.34,2.24,3.52
22/06/2026,12.96,0.00,2.18,2.18,0.00,7.91,2.64,2.64,2.90,2.87,10.78,12.79,2.24,12.79,2.94,3.73,3.17,2.95,4.64
23/06/2026,6.37,0.00,0.25,0.25,0.00,4.05,2.35,2.35,2.08,2.07,6.12,11.48,5.08,11.48,1.90,3.68,2.97,2.93,4.17
24/06/2026,9.29,0.00,0.76,0.76,0.00,6.46,2.23,2.23,2.08,2.07,8.53,10.46,1.77,10.46,2.50,3.31,2.35,2.30,3.80
25/06/2026,10.37,0.00,0.56,0.56,0.00,6.66,2.25,2.25,3.16,3.15,9.81,11.47,2.56,11.47,1.99,3.48,3.04,2.96,4.16
26/06/2026,9.51,0.00,0.95,0.95,0.00,6.09,2.71,2.71,2.50,2.47,8.56,11.83,3.03,11.83,2.53,3.51,2.99,2.80,4.29
27/06/2026,9.04,0.00,1.26,1.26,0.00,4.63,2.59,2.59,3.16,3.15,7.78,8.94,1.72,8.94,2.28,2.40,2.23,2.03,3.25
28/06/2026,5.81,0.00,1.01,1.01,0.00,3.93,2.46,2.46,0.87,0.87,4.80,9.66,3.27,9.66,1.61,2.82,2.77,2.46,3.51
29/06/2026,6.87,0.00,0.62,0.62,0.00,3.72,2.71,2.71,2.57,2.53,6.25,7.51,1.08,7.51,0.91,2.49,2.16,1.95,2.73
30/06/2026,9.37,0.00,1.29,1.29,0.00,4.62,2.38,2.38,3.51,3.46,8.08,7.04,0.04,7.04,2.84,1.58,1.38,1.24,2.56
